Reviews,Recommendation
i order 3 of them and one of the item is bad quality. is missing backup spring so i have to put a pcs of aluminum to make the battery work.,Medium
bought a lot of batteries for christmas and the amazonbasics cell have been good. i haven't noticed a difference between the brand name batteries and the amazon basic brand. just a lot easier to purchase and have arrive at the house and have on hand. will buy again.,Medium
"when i first started getting the amazon basic batteries i really liked them. with recent purchases, they do not seem to last like they had, or maybe a mixed-bag (inconsistent with some lasting better than others). i have not done any tests, but feel some other brands may last longer. however, the price is hard to beat.",No
"use it for my fish tank's light at night and works great, i love how you can easily switch it off and on if you want it on while guests are there.",Medium
"these amazon batteries did the job although i gave 4star only because i had a few i would say a hand full of batteries that were not as strong or were pretty weak but out of a box of 48 batteries, i will definitely buy again for this priceim pretty well satisfied.thank you!",No
"these were under a light we thought they were there to fit the light when they arrived and nice company they were not the batteries we needed it should have been aa but that is ok,it was our fault not knowing this. thanks..",Medium
these batteries don't last even in a simple digital clock. 2 weeks at best.,Medium
"amazonbasics batteries are quite good in terms of capacity -- pretty much tied for the top spot compared to the other 6 brands i've tested, but other brands have the edge in capacity per dollar. when i computed value by dividing capacity by the cost per battery of the cheapest package size, they took a respectable third place, and they have the advantage of being a trusted name compared to the value leader. in the images i have attached a graph and a table summarizing my test results for the 7 types i've tested, but if you'd like to know more about how i test ... on to the in-dept test review.i've been on a bit of a quest to test all of the top-selling aaa batteries on amazon in a repeatable, precise way. this means the same equipment, same environmental conditions, and same slots in the equipment will be used for each test. for each test, i fully discharge 3 batteries in my opus bt-c2000 battery analyzer at rates of 100 ma, 200 ma, and 400 ma (discharge rate affects usable capacity). i have also performed this exact same test (same equipment, same conditions) on the acdelco, duracell procell, duracell coppertop, energizer max, maxell, and rayovac. i have linked the other brands i've reviewed at the end of this review if you'd like to take a look at the other results for comparison purposes. for the amazon basics batteries, the capacity at each discharge rate was:disch rt capacity runtime sample use case100 ma 997 mah 10 hrs low-power led flashlight200 ma 914 mah 4.5 hrs electronic toy / medium led flashlight400 ma 623 mah 1.5 hrs motorized toy / bright led flashlightnote that these (and all other alkalines) would achieve somewhat higher capacity (maybe 1200 mah) in a low discharge application like a mouse, keyboard, remote control, etc because alkaline batteries have internal resistance that reduces usable capacity at high discharge rates.the capacity of these batteries is among the best i've tested -- take a look at the attached data table for comparative data. for the cost (0.31/ea in a 36 pack right now), these are a decent but beatable value -- the power supplied per dollar spent is very good, but eclipsed by other currently available options.comparison:these batteries do well capacity-wise, but value-wise are blown away by the currently cheapest energy/dollar battery that i've tested, the acdelco aaa's. their capacity results were:disch rt capacity runtime100 ma 1005 mah 10 hrs200 ma 864 mah 4.3 hrs400 ma 670 mah 1.7 hrsas you can see, the amazon batteries were very comperable ... but, at the current time the amazonbasics batteries are 0.31/ea (36 pack), while the acdelco batteries are about 0.21/ea (48 pack) -- so the acdelco are significantly cheaper per mah. i did not test shelf life, so it's possible that these may hold up better sitting in a drawer. although both the amazon batteries and the acdelco batteries are certainly made on contract by a third party, i do think that i trust amazon a bit more to provide consistent batteries than acdelco ... although i haven't had any trouble with my acdelco batteries so far. it's also worth noting that the amazon batteries come in clearly superior packaging - while the acdelco batteries come in a horrible gigantic plastic blister pack, the amazon batteries come in a closable cardboard box. if you don't go through a lot of batteries organization of your battery drawer is important to you, that could push them into the all-around winner category despite the 50 price premium.finally, because another review specifically mentions the rayovac aa's as being 'good' in some usage scenarios, i thought i'd share my findings for the rayovac aaa's. in short, they're garbage - the amazon batteries are better in every case. it's possible that the rayovac aa's are much better than the aaa's, but i think it's more likely that the version of the rayovacs tested by the website that he got his results from is different than the most popular rayovac on amazon (i source all of my batteries from amazon). i ran the rayovac test several times because i couldn't believe how poorly they did ... here are some typical rayovac results:disch rt capacity runtime100 ma 908 mah 9 hrs200 ma 590 mah 2.9 hrs400 ma 443 mah 1.1 hrsmy other battery tests/reviews:i have posted reviews for duracell coppertop, duracell procell and acdelco aaa alkaline batteries with capacity data gathered using the exact same method and equipment. to find those reviews for comparison purposes, go to the product pages linked below and search for 'mah' under 'all reviews' (or just browse to them on my profile). if/when i do additional aaa tests/reviews in the future, i will update this list.acdelco aaa super alkaline batteriesduracell aaa batteries coppertop mn2400 - 20 packduracell procell aaa batteries pc2400bkd09energizer max aaa batteriesmaxell alkaline battery aaa cellrayovac alkaline aaa batteries",Yes
great basic batteries! fantastic price. i like having a stockpile. when my kids get toys at christmas i feel like oprah. you get a battery! and you get a battery!...,Medium
"i used to buy batteries from costco which come under kirkland brand. i thought of testing amazon basics based on my experience of other amazon basics products in the past. these batteries are way better than kirkland, energizer and duracell. the cost is nicely placed. now my kids have more time to play with toys before the need to replace the batteries. a clear thumbs up!",Medium
